Story World (old),Story World,Sub Story World,Grade,Subject,Unit,Chapter,Topic,Topic_ID,Concept,concept_code,CooboTitles,Experiments,Feature,Ideation,Assigned to,Scriptwriting,MediaFile,Production,LengthofCoboo,test,Stage
2301,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Male Reproductive System,kglm55,Human Reproduction,KG9941,Human Reproduction: Male Reproductive System,,,,,1,1,3,0,9,3
2302,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Male Reproductive System,kglm55,Male Reproductive System,KG9942,Human Reproduction: Male Reproductive System,,,,,2,1,2,3,5,3
2303,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Male Reproductive System,kglm55,Testes,KG9943,Human Reproduction: Male Reproductive System,,,,,1,1,1,1,8,3
2306,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Male Reproductive System,kglm55,Seminiferous Tubules,KG9946,Human Reproduction: Male Reproductive System,,,,,1,1,1,1,6,3
2312,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Male Reproductive System,kglm55,Accessory Ducts of Male Reproductive System,KG9952,Human Reproduction: Male Reproductive System,,,,,2,1,0,0,9,2
2319,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Male Reproductive System,kglm55,Penis,KG9959,Human Reproduction: Male Reproductive System,,,,,3,1,4,3,5,2
2322,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Male Reproductive System,kglm55,Male Accessory Glands,KG9962,Human Reproduction: Male Reproductive System,,,,,1,2,1,4,4,2
2326,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Male Reproductive System,kglm55,Hormonal Control of Male Reproductive System,KG9966,Human Reproduction: Male Reproductive System,,,,,3,4,3,2,7,2
2327,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Male Reproductive System,kglm55,Follicle Stimulating Hormone,KG9967,Human Reproduction: Female Reproductive System,,,,,1,3,0,0,7,2
2328,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Male Reproductive System,kglm55,Gonadotropin Releasing Hormone,KG9968,Human Reproduction: Female Reproductive System,,,,,1,1,4,3,7,0
2330,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Female Reproductive System,kglm57,Female Reproductive System,KG9970,Human Reproduction: Female Reproductive System,,,,,1,1,1,1,9,0
2331,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Female Reproductive System,kglm57,Ovaries,KG9971,Human Reproduction: Female Reproductive System,,,,,1,1,1,1,4,0
2332,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Female Reproductive System,kglm57,Oviducts,KG9972,Human Reproduction: Female Reproductive System,,,,,1,1,1,1,10,0
2336,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Female Reproductive System,kglm57,Uterus,KG9976,Human Reproduction: Female Reproductive System,,,,,2,3,4,2,9,4
2340,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Female Reproductive System,kglm57,Cervix,KG9980,Human Reproduction: Female Reproductive System,,,,,1,2,3,4,10,4
2341,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Female Reproductive System,kglm57,Vagina,KG9981,Human Reproduction: Female Reproductive System,,,,,1,3,2,1,7,4
2342,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Female Reproductive System,kglm57,External Genitalia,KG9982,Human Reproduction: Female Reproductive System,,,,,3,2,2,3,8,4
2348,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Female Reproductive System,kglm57,Mammary Glands,KG9988,Human Reproduction: Female Reproductive System,,,,,3,2,0,0,6,4
2352,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Female Reproductive System,kglm57,Hormonal Control of Female Reproductive System,KG9992,Human Reproduction: Female Reproductive System,,,,,4,4,0,0,5,3
2353,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Gametogenesis,kglm59,Gametogenesis,KG9993,Human Reproduction: Gametogenesis,,,,,2,3,2,1,8,3
2354,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Gametogenesis,kglm59,Spermatogenesis,KG9994,Human Reproduction: Gametogenesis,,,,,4,4,2,4,5,3
2361,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Gametogenesis,kglm59,Sperm,KG10001,Human Reproduction: Gametogenesis,,,,,3,3,2,1,8,3
2365,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Gametogenesis,kglm59,Oogenesis,KG10005,Human Reproduction: Gametogenesis,,,,,4,0,0,0,9,3
2373,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Menstrual Cycle,kglm61,Menstrual Cycle,KG10013,Human Reproduction: Menstrual Cycle,,,,,4,4,0,0,4,1
2374,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Menstrual Cycle,kglm61,Menarche,KG10014,Human Reproduction: Menstrual Cycle,,,,,1,1,1,1,8,1
2375,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Menstrual Cycle,kglm61,Menopause,KG10015,Human Reproduction: Menstrual Cycle,,,,,2,0,0,0,9,1
2376,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Menstrual Cycle,kglm61,Menstrual Hygiene,KG10016,Human Reproduction: Menstrual Cycle,,,,,4,3,3,1,7,1
2377,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Gametogenesis,kglm59,Ovulation,KG10017,Human Reproduction: Menstrual Cycle,,,,,1,1,1,1,6,1
2383,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Fertilization,kglm63,Fertilisation,KG10023,Human Reproduction: Fertilisation and Implantation,,,,,3,0,0,0,4,1
2389,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Implantation,kglm65,Cleavage of Embryo,KG10029,Human Reproduction: Fertilisation and Implantation,,,,,3,0,0,0,4,0
2391,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Implantation,kglm65,Morula,KG10031,Human Reproduction: Fertilisation and Implantation,,,,,1,0,0,0,10,0
2394,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Implantation,kglm65,Implantation,KG10034,Human Reproduction: Fertilisation and Implantation,,,,,3,3,3,2,6,0
2395,Life,Life Processes,12,Biology,Reproduction,Human Reproduction,Pregnancy and Embryonic Development,kglm67,Pregnancy and Embryonic Development,KG10035,Human Reproduction: Pregnancy and Embryonic Development,,,,,1,3,0,0,7,0
